+ 0.00017 0 1 rtProtoDV 6 ------- 0 0.2 1.1 -1 0
- 0.00017 0 1 rtProtoDV 6 ------- 0 0.2 1.1 -1 0
+ 0.007102 2 1 rtProtoDV 6 ------- 0 2.2 1.1 -1 1
- 0.007102 2 1 rtProtoDV 6 ------- 0 2.2 1.1 -1 1
r 0.010179 0 1 rtProtoDV 6 ------- 0 0.2 1.1 -1 0
r 0.017112 2 1 rtProtoDV 6 ------- 0 2.2 1.1 -1 1
+ 0.044061 3 4 rtProtoDV 6 ------- 0 3.2 4.1 -1 2
- 0.044061 3 4 rtProtoDV 6 ------- 0 3.2 4.1 -1 2
r 0.054071 3 4 rtProtoDV 6 ------- 0 3.2 4.1 -1 2
+ 0.220587 4 1 rtProtoDV 6 ------- 0 4.1 1.1 -1 4
- 0.220587 4 1 rtProtoDV 6 ------- 0 4.1 1.1 -1 4
+ 0.220587 4 3 rtProtoDV 6 ------- 0 4.1 3.2 -1 5
- 0.220587 4 3 rtProtoDV 6 ------- 0 4.1 3.2 -1 5
+ 0.220587 4 5 rtProtoDV 6 ------- 0 4.1 5.2 -1 6
- 0.220587 4 5 rtProtoDV 6 ------- 0 4.1 5.2 -1 6
r 0.230596 4 3 rtProtoDV 6 ------- 0 4.1 3.2 -1 5
+ 0.230596 3 4 rtProtoDV 6 ------- 0 3.2 4.1 -1 7
- 0.230596 3 4 rtProtoDV 6 ------- 0 3.2 4.1 -1 7
r 0.230596 4 5 rtProtoDV 6 ------- 0 4.1 5.2 -1 6
+ 0.230596 5 4 rtProtoDV 6 ------- 0 5.2 4.1 -1 8
- 0.230596 5 4 rtProtoDV 6 ------- 0 5.2 4.1 -1 8
r 0.240606 3 4 rtProtoDV 6 ------- 0 3.2 4.1 -1 7
r 0.240606 5 4 rtProtoDV 6 ------- 0 5.2 4.1 -1 8
r 0.260683 4 1 rtProtoDV 6 ------- 0 4.1 1.1 -1 4
+ 0.260683 1 0 rtProtoDV 6 ------- 0 1.1 0.2 -1 9
- 0.260683 1 0 rtProtoDV 6 ------- 0 1.1 0.2 -1 9
+ 0.260683 1 2 rtProtoDV 6 ------- 0 1.1 2.2 -1 10
- 0.260683 1 2 rtProtoDV 6 ------- 0 1.1 2.2 -1 10
+ 0.260683 1 4 rtProtoDV 6 ------- 0 1.1 4.1 -1 11
- 0.260683 1 4 rtProtoDV 6 ------- 0 1.1 4.1 -1 11
r 0.270692 1 0 rtProtoDV 6 ------- 0 1.1 0.2 -1 9
+ 0.270692 0 1 rtProtoDV 6 ------- 0 0.2 1.1 -1 12
- 0.270692 0 1 rtProtoDV 6 ------- 0 0.2 1.1 -1 12
r 0.270692 1 2 rtProtoDV 6 ------- 0 1.1 2.2 -1 10
+ 0.270692 2 1 rtProtoDV 6 ------- 0 2.2 1.1 -1 13
- 0.270692 2 1 rtProtoDV 6 ------- 0 2.2 1.1 -1 13
+ 0.27794 1 0 rtProtoDV 6 ------- 0 1.1 0.2 -1 14
- 0.27794 1 0 rtProtoDV 6 ------- 0 1.1 0.2 -1 14
+ 0.27794 1 2 rtProtoDV 6 ------- 0 1.1 2.2 -1 15
- 0.27794 1 2 rtProtoDV 6 ------- 0 1.1 2.2 -1 15
+ 0.27794 1 4 rtProtoDV 6 ------- 0 1.1 4.1 -1 16
- 0.27794 1 4 rtProtoDV 6 ------- 0 1.1 4.1 -1 16
r 0.280702 0 1 rtProtoDV 6 ------- 0 0.2 1.1 -1 12
r 0.280702 2 1 rtProtoDV 6 ------- 0 2.2 1.1 -1 13
r 0.28795 1 0 rtProtoDV 6 ------- 0 1.1 0.2 -1 14
r 0.28795 1 2 rtProtoDV 6 ------- 0 1.1 2.2 -1 15
r 0.300779 1 4 rtProtoDV 6 ------- 0 1.1 4.1 -1 11
+ 0.300779 4 1 rtProtoDV 6 ------- 0 4.1 1.1 -1 17
- 0.300779 4 1 rtProtoDV 6 ------- 0 4.1 1.1 -1 17
+ 0.300779 4 3 rtProtoDV 6 ------- 0 4.1 3.2 -1 18
- 0.300779 4 3 rtProtoDV 6 ------- 0 4.1 3.2 -1 18
+ 0.300779 4 5 rtProtoDV 6 ------- 0 4.1 5.2 -1 19
- 0.300779 4 5 rtProtoDV 6 ------- 0 4.1 5.2 -1 19
r 0.310788 4 3 rtProtoDV 6 ------- 0 4.1 3.2 -1 18
+ 0.310788 3 4 rtProtoDV 6 ------- 0 3.2 4.1 -1 20
- 0.310788 3 4 rtProtoDV 6 ------- 0 3.2 4.1 -1 20
r 0.310788 4 5 rtProtoDV 6 ------- 0 4.1 5.2 -1 19
+ 0.310788 5 4 rtProtoDV 6 ------- 0 5.2 4.1 -1 21
- 0.310788 5 4 rtProtoDV 6 ------- 0 5.2 4.1 -1 21
r 0.318036 1 4 rtProtoDV 6 ------- 0 1.1 4.1 -1 16
r 0.320798 3 4 rtProtoDV 6 ------- 0 3.2 4.1 -1 20
r 0.320798 5 4 rtProtoDV 6 ------- 0 5.2 4.1 -1 21
r 0.340875 4 1 rtProtoDV 6 ------- 0 4.1 1.1 -1 17
+ 0.399578 5 4 rtProtoDV 6 ------- 0 5.2 4.1 -1 22
- 0.399578 5 4 rtProtoDV 6 ------- 0 5.2 4.1 -1 22
r 0.409587 5 4 rtProtoDV 6 ------- 0 5.2 4.1 -1 22
+ 1 2 1 tcp 40 ------- 1 2.0 5.0 0 23
- 1 2 1 tcp 40 ------- 1 2.0 5.0 0 23
r 1.010064 2 1 tcp 40 ------- 1 2.0 5.0 0 23
+ 1.010064 1 4 tcp 40 ------- 1 2.0 5.0 0 23
- 1.010064 1 4 tcp 40 ------- 1 2.0 5.0 0 23
r 1.050704 1 4 tcp 40 ------- 1 2.0 5.0 0 23
+ 1.050704 4 5 tcp 40 ------- 1 2.0 5.0 0 23
- 1.050704 4 5 tcp 40 ------- 1 2.0 5.0 0 23
r 1.060768 4 5 tcp 40 ------- 1 2.0 5.0 0 23
+ 1.060768 5 4 ack 40 ------- 1 5.0 2.0 0 24
- 1.060768 5 4 ack 40 ------- 1 5.0 2.0 0 24
r 1.070832 5 4 ack 40 ------- 1 5.0 2.0 0 24
+ 1.070832 4 1 ack 40 ------- 1 5.0 2.0 0 24
- 1.070832 4 1 ack 40 ------- 1 5.0 2.0 0 24
r 1.111472 4 1 ack 40 ------- 1 5.0 2.0 0 24
+ 1.111472 1 2 ack 40 ------- 1 5.0 2.0 0 24
- 1.111472 1 2 ack 40 ------- 1 5.0 2.0 0 24
r 1.121536 1 2 ack 40 ------- 1 5.0 2.0 0 24
+ 1.121536 2 1 tcp 1040 ------- 1 2.0 5.0 1 25
- 1.121536 2 1 tcp 1040 ------- 1 2.0 5.0 1 25
+ 1.121536 2 1 tcp 1040 ------- 1 2.0 5.0 2 26
- 1.1232 2 1 tcp 1040 ------- 1 2.0 5.0 2 26
r 1.1332 2 1 tcp 1040 ------- 1 2.0 5.0 1 25
+ 1.1332 1 4 tcp 1040 ------- 1 2.0 5.0 1 25
- 1.1332 1 4 tcp 1040 ------- 1 2.0 5.0 1 25
r 1.134864 2 1 tcp 1040 ------- 1 2.0 5.0 2 26
+ 1.134864 1 4 tcp 1040 ------- 1 2.0 5.0 2 26
- 1.14984 1 4 tcp 1040 ------- 1 2.0 5.0 2 26
r 1.18984 1 4 tcp 1040 ------- 1 2.0 5.0 1 25
+ 1.18984 4 5 tcp 1040 ------- 1 2.0 5.0 1 25
- 1.18984 4 5 tcp 1040 ------- 1 2.0 5.0 1 25
r 1.201504 4 5 tcp 1040 ------- 1 2.0 5.0 1 25
+ 1.201504 5 4 ack 40 ------- 1 5.0 2.0 1 27
- 1.201504 5 4 ack 40 ------- 1 5.0 2.0 1 27
r 1.20648 1 4 tcp 1040 ------- 1 2.0 5.0 2 26
+ 1.20648 4 5 tcp 1040 ------- 1 2.0 5.0 2 26
- 1.20648 4 5 tcp 1040 ------- 1 2.0 5.0 2 26
r 1.211568 5 4 ack 40 ------- 1 5.0 2.0 1 27
+ 1.211568 4 1 ack 40 ------- 1 5.0 2.0 1 27
- 1.211568 4 1 ack 40 ------- 1 5.0 2.0 1 27
r 1.218144 4 5 tcp 1040 ------- 1 2.0 5.0 2 26
